domain,variant,ground_truth_feasible,total_runs,task_success_count,task_success_rate,action_sequence_generation_rate,nonempty_action_sequence_rate,val_valid_plan_rate,execution_ready_plan_rate,physical_execution_unconditional,generated_goal_satisfaction_rate,generated_goal_evaluation_coverage,benchmark_requirement_coverage,generated_goal_atom_coverage,feasibility_accuracy,average_fm_calls,average_cp_calls,average_plan_length
kitchen,F0_ALL_VISIBLE,,10,0,0.0,0.5,0.5,0.5,0.0,0.0,,0.0,0.5,,0.0,8.0,1.5,2.0
kitchen,F1_HIDDEN_COFFEE_VESSEL,,10,0,0.0,0.8,0.7,0.8,0.1,0.1,0.0,0.1,0.5,0.0,0.1111111111111111,7.444444444444445,2.4,3.75
kitchen,F2_HIDDEN_SOUP_BOWL,True,10,0,0.0,0.3,0.2,0.3,0.1,0.1,0.0,0.1,0.5,0.0,0.1,7.7,2.7,5.333333333333333
kitchen,F3_HIDDEN_VESSELS_MIXED,,10,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,,0.0,7.0,1.5,
kitchen,F4_TOOLS_IN_DRAWERS,,10,0,0.0,0.5,0.5,0.5,0.0,0.0,,0.0,0.5,,0.0,7.0,1.5,9.0
kitchen,F5_FULL_DISTRIBUTED_SEARCH,True,10,0,0.0,0.3,0.0,0.3,0.3,0.3,0.0,0.3,0.5,0.0,0.3,6.6,2.1,0.0
kitchen,I0_MISSING_COFFEE_VESSEL,,10,0,0.0,0.6,0.6,0.6,0.0,0.0,,0.0,0.5,,1.0,8.0,1.8,3.6666666666666665
kitchen,I1_MISSING_SOUP_BOWL,False,10,0,0.0,0.9,0.9,0.9,0.0,0.0,,0.0,0.5,,1.0,7.5,3.0,5.222222222222222
kitchen,I2_MISSING_COFFEE_SPOON,False,10,0,0.0,0.5,0.5,0.5,0.0,0.0,,0.0,0.5,,1.0,7.4,3.0,7.0
kitchen,I3_MISSING_SOUP_UTENSIL,False,10,0,0.0,0.4,0.3,0.4,0.1,0.1,0.0,0.1,0.5,0.0,0.9,7.3,2.7,5.5
kitchen,I4_MISSING_KETTLE,,10,0,0.0,0.6,0.6,0.6,0.0,0.0,,0.0,0.5,,0.875,6.875,2.2,4.833333333333333
kitchen,I5_MISSING_COFFEE_JAR,False,10,0,0.0,0.7,0.6,0.7,0.1,0.1,0.0,0.1,0.5,0.0,0.9,7.1,2.7,2.5714285714285716
living_room,F0_ALL_OBJECTS_IN_STAGING,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3333333333333333,,0.0,7.0,3.0,
living_room,F1_LEFT_SAUCER_PREPLACED,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3333333333333333,,0.0,7.0,3.0,
living_room,F2_LEFT_SAUCER_ON_SHARED,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3333333333333333,,0.0,7.0,3.0,
living_room,F3_LEFT_CUP_ON_SHARED,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3333333333333333,,0.0,7.0,3.0,
