run_id,domain,variant,protocol,repeat,symbolic_object,pddl_type,candidate_count,candidate_physical_bodies,centroid_distance,aabb_distance,ambiguity_margin,failure_reason,observation_stage,classification
kitchen__F1_HIDDEN_COFFEE_VESSEL__fixed_full_inspection__r01,kitchen,F1_HIDDEN_COFFEE_VESSEL,fixed_full_inspection,1,coffee_pot_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,MISSING_VISIBLE_ENTITY
kitchen__F1_HIDDEN_COFFEE_VESSEL__fixed_full_inspection__r02,kitchen,F1_HIDDEN_COFFEE_VESSEL,fixed_full_inspection,2,coffee_pot_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,MISSING_VISIBLE_ENTITY
kitchen__F2_HIDDEN_SOUP_BOWL__fixed_full_inspection__r01,kitchen,F2_HIDDEN_SOUP_BOWL,fixed_full_inspection,1,cup_1_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,MISSING_VISIBLE_ENTITY
kitchen__F2_HIDDEN_SOUP_BOWL__fixed_full_inspection__r04,kitchen,F2_HIDDEN_SOUP_BOWL,fixed_full_inspection,4,coffee_pot_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,MISSING_VISIBLE_ENTITY
kitchen__F4_TOOLS_IN_DRAWERS__initial_observation_only__r00,kitchen,F4_TOOLS_IN_DRAWERS,initial_observation_only,0,bowl_1,unknown,2,ab3_narrow_deep_cup; ab3_medium_deep_mug,,,,AMBIGUOUS_ENTITY,initial_observation_only,GENUINE_VISUAL_AMBIGUITY
kitchen__F4_TOOLS_IN_DRAWERS__initial_observation_only__r01,kitchen,F4_TOOLS_IN_DRAWERS,initial_observation_only,1,bowl_1,unknown,2,ab3_narrow_deep_cup; ab3_medium_deep_mug,,,,AMBIGUOUS_ENTITY,initial_observation_only,GENUINE_VISUAL_AMBIGUITY
kitchen__F4_TOOLS_IN_DRAWERS__initial_observation_only__r02,kitchen,F4_TOOLS_IN_DRAWERS,initial_observation_only,2,bowl_1,unknown,2,ab3_narrow_deep_cup; ab3_medium_deep_mug,,,,AMBIGUOUS_ENTITY,initial_observation_only,GENUINE_VISUAL_AMBIGUITY
kitchen__F4_TOOLS_IN_DRAWERS__initial_observation_only__r03,kitchen,F4_TOOLS_IN_DRAWERS,initial_observation_only,3,bowl_1,unknown,2,ab3_narrow_deep_cup; ab3_medium_deep_mug,,,,AMBIGUOUS_ENTITY,initial_observation_only,GENUINE_VISUAL_AMBIGUITY
kitchen__F4_TOOLS_IN_DRAWERS__initial_observation_only__r04,kitchen,F4_TOOLS_IN_DRAWERS,initial_observation_only,4,bowl_1,unknown,2,ab3_narrow_deep_cup; ab3_medium_deep_mug,,,,AMBIGUOUS_ENTITY,initial_observation_only,GENUINE_VISUAL_AMBIGUITY
kitchen__I4_MISSING_KETTLE__fixed_full_inspection__r01,kitchen,I4_MISSING_KETTLE,fixed_full_inspection,1,cup_1_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,MISSING_VISIBLE_ENTITY
workshop__F2_MANUAL_FIRST_TWO_REGIONS__fixed_full_inspection__r00,workshop,F2_MANUAL_FIRST_TWO_REGIONS,fixed_full_inspection,0,driver_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,MISSING_VISIBLE_ENTITY
workshop__F2_MANUAL_FIRST_TWO_REGIONS__fixed_full_inspection__r01,workshop,F2_MANUAL_FIRST_TWO_REGIONS,fixed_full_inspection,1,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,MISSING_VISIBLE_ENTITY
workshop__F2_MANUAL_FIRST_TWO_REGIONS__fixed_full_inspection__r02,workshop,F2_MANUAL_FIRST_TWO_REGIONS,fixed_full_inspection,2,driver_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,MISSING_VISIBLE_ENTITY
workshop__F2_MANUAL_FIRST_TWO_REGIONS__fixed_full_inspection__r03,workshop,F2_MANUAL_FIRST_TWO_REGIONS,fixed_full_inspection,3,driver_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,MISSING_VISIBLE_ENTITY
workshop__F2_MANUAL_FIRST_TWO_REGIONS__fixed_full_inspection__r04,workshop,F2_MANUAL_FIRST_TWO_REGIONS,fixed_full_inspection,4,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,MISSING_VISIBLE_ENTITY
workshop__F3_POWER_FIRST_TWO_REGIONS__fixed_full_inspection__r02,workshop,F3_POWER_FIRST_TWO_REGIONS,fixed_full_inspection,2,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,MISSING_VISIBLE_ENTITY
workshop__F3_POWER_FIRST_TWO_REGIONS__fixed_full_inspection__r04,workshop,F3_POWER_FIRST_TWO_REGIONS,fixed_full_inspection,4,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,MISSING_VISIBLE_ENTITY
workshop__F4_MANUAL_FIRST_THREE_REGIONS__fixed_full_inspection__r01,workshop,F4_MANUAL_FIRST_THREE_REGIONS,fixed_full_inspection,1,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,MISSING_VISIBLE_ENTITY
workshop__F4_MANUAL_FIRST_THREE_REGIONS__fixed_full_inspection__r02,workshop,F4_MANUAL_FIRST_THREE_REGIONS,fixed_full_inspection,2,driver_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,MISSING_VISIBLE_ENTITY
workshop__F4_MANUAL_FIRST_THREE_REGIONS__fixed_full_inspection__r04,workshop,F4_MANUAL_FIRST_THREE_REGIONS,fixed_full_inspection,4,driver_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,MISSING_VISIBLE_ENTITY
workshop__F4_MANUAL_FIRST_THREE_REGIONS__initial_observation_only__r00,workshop,F4_MANUAL_FIRST_THREE_REGIONS,initial_observation_only,0,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,MISSING_VISIBLE_ENTITY
workshop__F4_MANUAL_FIRST_THREE_REGIONS__initial_observation_only__r01,workshop,F4_MANUAL_FIRST_THREE_REGIONS,initial_observation_only,1,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,MISSING_VISIBLE_ENTITY
workshop__F4_MANUAL_FIRST_THREE_REGIONS__initial_observation_only__r02,workshop,F4_MANUAL_FIRST_THREE_REGIONS,initial_observation_only,2,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,MISSING_VISIBLE_ENTITY
workshop__F4_MANUAL_FIRST_THREE_REGIONS__initial_observation_only__r03,workshop,F4_MANUAL_FIRST_THREE_REGIONS,initial_observation_only,3,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,MISSING_VISIBLE_ENTITY
workshop__F4_MANUAL_FIRST_THREE_REGIONS__initial_observation_only__r04,workshop,F4_MANUAL_FIRST_THREE_REGIONS,initial_observation_only,4,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,MISSING_VISIBLE_ENTITY
workshop__F5_POWER_FIRST_THREE_REGIONS__initial_observation_only__r00,workshop,F5_POWER_FIRST_THREE_REGIONS,initial_observation_only,0,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,MISSING_VISIBLE_ENTITY
workshop__F5_POWER_FIRST_THREE_REGIONS__initial_observation_only__r01,workshop,F5_POWER_FIRST_THREE_REGIONS,initial_observation_only,1,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,MISSING_VISIBLE_ENTITY
workshop__F5_POWER_FIRST_THREE_REGIONS__initial_observation_only__r02,workshop,F5_POWER_FIRST_THREE_REGIONS,initial_observation_only,2,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,MISSING_VISIBLE_ENTITY
workshop__F5_POWER_FIRST_THREE_REGIONS__initial_observation_only__r03,workshop,F5_POWER_FIRST_THREE_REGIONS,initial_observation_only,3,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,MISSING_VISIBLE_ENTITY
workshop__F5_POWER_FIRST_THREE_REGIONS__initial_observation_only__r04,workshop,F5_POWER_FIRST_THREE_REGIONS,initial_observation_only,4,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,MISSING_VISIBLE_ENTITY
workshop__F6_MANUAL_ONLY__initial_observation_only__r00,workshop,F6_MANUAL_ONLY,initial_observation_only,0,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,MISSING_VISIBLE_ENTITY
workshop__F6_MANUAL_ONLY__initial_observation_only__r01,workshop,F6_MANUAL_ONLY,initial_observation_only,1,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,MISSING_VISIBLE_ENTITY
workshop__F6_MANUAL_ONLY__initial_observation_only__r03,workshop,F6_MANUAL_ONLY,initial_observation_only,3,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,MISSING_VISIBLE_ENTITY
workshop__F6_MANUAL_ONLY__initial_observation_only__r04,workshop,F6_MANUAL_ONLY,initial_observation_only,4,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,MISSING_VISIBLE_ENTITY
workshop__F7_POWER_ONLY__initial_observation_only__r00,workshop,F7_POWER_ONLY,initial_observation_only,0,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,MISSING_VISIBLE_ENTITY
workshop__F7_POWER_ONLY__initial_observation_only__r01,workshop,F7_POWER_ONLY,initial_observation_only,1,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,MISSING_VISIBLE_ENTITY
workshop__F7_POWER_ONLY__initial_observation_only__r02,workshop,F7_POWER_ONLY,initial_observation_only,2,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,MISSING_VISIBLE_ENTITY
workshop__F7_POWER_ONLY__initial_observation_only__r03,workshop,F7_POWER_ONLY,initial_observation_only,3,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,MISSING_VISIBLE_ENTITY
workshop__F7_POWER_ONLY__initial_observation_only__r04,workshop,F7_POWER_ONLY,initial_observation_only,4,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,MISSING_VISIBLE_ENTITY
