run_id,domain,variant,protocol,repeat,operator,failure_stage,reason_code,classification
kitchen__F0_ALL_VISIBLE__initial_observation_only__r00,kitchen,F0_ALL_VISIBLE,initial_observation_only,0,place-on,IK,NO_IK_SOLUTION,GENUINE_GEOMETRIC_FAILURE
kitchen__F0_ALL_VISIBLE__initial_observation_only__r01,kitchen,F0_ALL_VISIBLE,initial_observation_only,1,place-on,IK,NO_IK_SOLUTION,GENUINE_GEOMETRIC_FAILURE
kitchen__F0_ALL_VISIBLE__initial_observation_only__r02,kitchen,F0_ALL_VISIBLE,initial_observation_only,2,place-on,IK,NO_IK_SOLUTION,GENUINE_GEOMETRIC_FAILURE
kitchen__F0_ALL_VISIBLE__initial_observation_only__r03,kitchen,F0_ALL_VISIBLE,initial_observation_only,3,place-on,IK,NO_IK_SOLUTION,GENUINE_GEOMETRIC_FAILURE
kitchen__F0_ALL_VISIBLE__initial_observation_only__r04,kitchen,F0_ALL_VISIBLE,initial_observation_only,4,place-on,IK,NO_IK_SOLUTION,GENUINE_GEOMETRIC_FAILURE
kitchen__F1_HIDDEN_COFFEE_VESSEL__initial_observation_only__r00,kitchen,F1_HIDDEN_COFFEE_VESSEL,initial_observation_only,0,pick-from,IK,NO_IK_SOLUTION,GENUINE_GEOMETRIC_FAILURE
kitchen__F1_HIDDEN_COFFEE_VESSEL__initial_observation_only__r01,kitchen,F1_HIDDEN_COFFEE_VESSEL,initial_observation_only,1,pick-from,IK,NO_IK_SOLUTION,GENUINE_GEOMETRIC_FAILURE
kitchen__F1_HIDDEN_COFFEE_VESSEL__initial_observation_only__r02,kitchen,F1_HIDDEN_COFFEE_VESSEL,initial_observation_only,2,pick-from,IK,NO_IK_SOLUTION,GENUINE_GEOMETRIC_FAILURE
kitchen__F1_HIDDEN_COFFEE_VESSEL__initial_observation_only__r03,kitchen,F1_HIDDEN_COFFEE_VESSEL,initial_observation_only,3,pick-from,IK,NO_IK_SOLUTION,GENUINE_GEOMETRIC_FAILURE
kitchen__F1_HIDDEN_COFFEE_VESSEL__initial_observation_only__r04,kitchen,F1_HIDDEN_COFFEE_VESSEL,initial_observation_only,4,pick-from,IK,NO_IK_SOLUTION,GENUINE_GEOMETRIC_FAILURE
workshop__F0_MANUAL_FIRST_ONE_REGION__initial_observation_only__r00,workshop,F0_MANUAL_FIRST_ONE_REGION,initial_observation_only,0,pick-from,COLLISION,PATH_COLLISION,GENUINE_GEOMETRIC_FAILURE
workshop__F0_MANUAL_FIRST_ONE_REGION__initial_observation_only__r01,workshop,F0_MANUAL_FIRST_ONE_REGION,initial_observation_only,1,pick-from,COLLISION,PATH_COLLISION,GENUINE_GEOMETRIC_FAILURE
workshop__F0_MANUAL_FIRST_ONE_REGION__initial_observation_only__r02,workshop,F0_MANUAL_FIRST_ONE_REGION,initial_observation_only,2,pick-from,COLLISION,PATH_COLLISION,GENUINE_GEOMETRIC_FAILURE
workshop__F0_MANUAL_FIRST_ONE_REGION__initial_observation_only__r03,workshop,F0_MANUAL_FIRST_ONE_REGION,initial_observation_only,3,pick-from,COLLISION,PATH_COLLISION,GENUINE_GEOMETRIC_FAILURE
workshop__F0_MANUAL_FIRST_ONE_REGION__initial_observation_only__r04,workshop,F0_MANUAL_FIRST_ONE_REGION,initial_observation_only,4,pick-from,COLLISION,PATH_COLLISION,GENUINE_GEOMETRIC_FAILURE
workshop__F1_POWER_FIRST_ONE_REGION__initial_observation_only__r00,workshop,F1_POWER_FIRST_ONE_REGION,initial_observation_only,0,pick-from,COLLISION,PATH_COLLISION,GENUINE_GEOMETRIC_FAILURE
workshop__F1_POWER_FIRST_ONE_REGION__initial_observation_only__r01,workshop,F1_POWER_FIRST_ONE_REGION,initial_observation_only,1,pick-from,COLLISION,PATH_COLLISION,GENUINE_GEOMETRIC_FAILURE
workshop__F1_POWER_FIRST_ONE_REGION__initial_observation_only__r02,workshop,F1_POWER_FIRST_ONE_REGION,initial_observation_only,2,pick-from,COLLISION,PATH_COLLISION,GENUINE_GEOMETRIC_FAILURE
workshop__F1_POWER_FIRST_ONE_REGION__initial_observation_only__r03,workshop,F1_POWER_FIRST_ONE_REGION,initial_observation_only,3,pick-from,COLLISION,PATH_COLLISION,GENUINE_GEOMETRIC_FAILURE
workshop__F1_POWER_FIRST_ONE_REGION__initial_observation_only__r04,workshop,F1_POWER_FIRST_ONE_REGION,initial_observation_only,4,pick-from,COLLISION,PATH_COLLISION,GENUINE_GEOMETRIC_FAILURE
