run_id,domain,variant,protocol,repeat,first_plan_attempt_index,any_symbolic_plan_found,any_nonempty_symbolic_plan_found,any_val_valid_plan,number_of_symbolic_plans_generated,number_of_val_valid_plans,best_symbolic_plan_length,final_selected_plan_length,selected_action_sequence_summary
kitchen__F0_ALL_VISIBLE__fixed_full_inspection__r00,kitchen,F0_ALL_VISIBLE,fixed_full_inspection,0,,False,False,False,0,0,,,NO_PLAN
kitchen__F0_ALL_VISIBLE__initial_observation_only__r00,kitchen,F0_ALL_VISIBLE,initial_observation_only,0,,False,False,False,0,0,,,NO_PLAN
kitchen__F1_HIDDEN_COFFEE_VESSEL__fixed_full_inspection__r00,kitchen,F1_HIDDEN_COFFEE_VESSEL,fixed_full_inspection,0,,False,False,False,0,0,,,NO_PLAN
kitchen__F1_HIDDEN_COFFEE_VESSEL__initial_observation_only__r00,kitchen,F1_HIDDEN_COFFEE_VESSEL,initial_observation_only,0,0,True,True,True,4,4,6,,len=6: pick-from -> pour -> pour -> place-on -> pick-from ... (+1 more)
kitchen__F2_HIDDEN_SOUP_BOWL__fixed_full_inspection__r00,kitchen,F2_HIDDEN_SOUP_BOWL,fixed_full_inspection,0,,False,False,False,0,0,,,NO_PLAN
kitchen__F2_HIDDEN_SOUP_BOWL__initial_observation_only__r00,kitchen,F2_HIDDEN_SOUP_BOWL,initial_observation_only,0,0,True,True,True,2,2,9,,len=9: pick-from -> pour -> pour -> pour -> place-on ... (+4 more)
kitchen__F3_HIDDEN_VESSELS_MIXED__fixed_full_inspection__r00,kitchen,F3_HIDDEN_VESSELS_MIXED,fixed_full_inspection,0,,False,False,False,0,0,,,NO_PLAN
kitchen__F3_HIDDEN_VESSELS_MIXED__initial_observation_only__r00,kitchen,F3_HIDDEN_VESSELS_MIXED,initial_observation_only,0,,False,False,False,0,0,,,NO_PLAN
kitchen__F4_TOOLS_IN_DRAWERS__fixed_full_inspection__r00,kitchen,F4_TOOLS_IN_DRAWERS,fixed_full_inspection,0,,False,False,False,0,0,,,NO_PLAN
kitchen__F4_TOOLS_IN_DRAWERS__initial_observation_only__r00,kitchen,F4_TOOLS_IN_DRAWERS,initial_observation_only,0,1,True,True,True,1,1,9,,len=9: pick-from -> place-in -> pick-from -> place-in -> pick-from ... (+4 more)
kitchen__F5_FULL_DISTRIBUTED_SEARCH__fixed_full_inspection__r00,kitchen,F5_FULL_DISTRIBUTED_SEARCH,fixed_full_inspection,0,,False,False,False,0,0,,,NO_PLAN
kitchen__F5_FULL_DISTRIBUTED_SEARCH__initial_observation_only__r00,kitchen,F5_FULL_DISTRIBUTED_SEARCH,initial_observation_only,0,,False,False,False,0,0,,,NO_PLAN
kitchen__I0_MISSING_COFFEE_VESSEL__fixed_full_inspection__r00,kitchen,I0_MISSING_COFFEE_VESSEL,fixed_full_inspection,0,,False,False,False,0,0,,,NO_PLAN
