domain,variant,ground_truth_feasible,total_runs,terminal_status,outcome_correct,outcome_correct_rate,feasible_task_success,feasible_task_success_rate,goal_requirements_passed,goal_requirements_total,goal_coverage,initial_goal_requirements_passed,initial_goal_coverage,terminal_goal_coverage,delta_goal_coverage,declared_completion,false_completion,any_symbolic_plan,any_nonempty_symbolic_plan,val_valid_plan,identity_success,physical_plan_found,refinement_success,execution_attempted,physical_actions_attempted,physical_actions_succeeded,nonempty_plan_execution_completed,hidden_task_success,raw_vlm_requests,object_calls,initial_state_calls,goal_calls,cp_calls,high_level_replans,runtime_seconds,actual_selected_plan_length,actual_selected_action_sequence,terminal_failure_cause
kitchen,F0_ALL_VISIBLE,True,2,FM_OBJECT_FAILURE,False,0.0,False,0.0,0,24,0.0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0,0,False,False,3.5,1,1,2,3,1.5,78.38093004549916,0,[],FM_OBJECT_FAILURE
kitchen,F1_HIDDEN_COFFEE_VESSEL,True,2,FM_STATE_FAILURE,False,0.0,False,0.0,0,24,0.0,0,0.0,0.0,0.0,False,False,True,True,True,True,False,False,False,0,0,False,False,4.0,2,1,2,3,1.5,65.39305260550145,0,[],FM_STATE_FAILURE
kitchen,F2_HIDDEN_SOUP_BOWL,True,2,FM_STATE_FAILURE,False,0.0,False,0.0,0,24,0.0,0,0.0,0.0,0.0,False,False,True,True,True,False,False,False,False,0,0,False,False,3.5,1,1,2,3,1.5,40.29699000800013,0,[],FM_STATE_FAILURE
kitchen,F3_HIDDEN_VESSELS_MIXED,True,2,FM_OBJECT_FAILURE,False,0.0,False,0.0,0,24,0.0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0,0,False,False,3.0,1,1,1,3,1.5,66.77261580699923,0,[],FM_OBJECT_FAILURE
kitchen,F4_TOOLS_IN_DRAWERS,True,2,FM_STATE_FAILURE,False,0.0,False,0.0,0,24,0.0,0,0.0,0.0,0.0,False,False,True,True,True,False,False,False,False,0,0,False,False,3.5,1,1,2,3,1.5,56.036471947999225,0,[],FM_STATE_FAILURE
kitchen,F5_FULL_DISTRIBUTED_SEARCH,True,2,FM_OBJECT_FAILURE,False,0.0,False,0.0,0,24,0.0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0,0,False,False,4.0,1,2,2,3,1.5,63.58130204650043,0,[],FM_OBJECT_FAILURE
kitchen,I0_MISSING_COFFEE_VESSEL,False,2,FM_STATE_FAILURE,False,0.0,,,0,12,,,,,,False,False,True,True,True,True,False,False,False,0,0,False,False,4.0,1,2,2,3,1.5,42.20191042750081,0,[],FM_STATE_FAILURE
kitchen,I1_MISSING_SOUP_BOWL,False,2,FM_STATE_FAILURE,False,0.0,,,0,12,,,,,,False,False,True,True,True,True,False,False,False,0,0,False,False,4.0,1,2,2,3,1.5,43.55316883099958,0,[],FM_STATE_FAILURE
kitchen,I2_MISSING_COFFEE_SPOON,False,2,FM_STATE_FAILURE,True,0.5,,,0,12,,,,,,False,False,False,False,False,False,False,False,False,0,0,False,False,3.5,1,1,2,3,1.5,30.162547622498877,0,[],FM_STATE_FAILURE
kitchen,I3_MISSING_SOUP_UTENSIL,False,2,FM_STATE_FAILURE,False,0.0,,,0,12,,,,,,False,False,True,True,True,False,False,False,False,0,0,False,False,3.5,1,1,2,3,1.5,32.00020532499842,0,[],FM_STATE_FAILURE
