run_id,domain,variant,protocol,attempt_index,symbolic_object,label,actual_pddl_type,object_status,actual_estimated_centroid_m,observation_stage_ids,reason_code,maximum_distance_m,ambiguity_margin_m,number_of_type_compatible_candidates,number_of_stage_compatible_candidates,number_of_distance_compatible_candidates,best_candidate,best_centroid_distance_m,best_aabb_distance_m,second_candidate,second_centroid_distance_m,candidate_gap_m,candidate_entities_from_exception,final_classification,implementation_defect
kitchen__F2_HIDDEN_SOUP_BOWL__initial_observation_only__r00,kitchen,F2_HIDDEN_SOUP_BOWL,initial_observation_only,0,cup_1,cup,vessel,OBSERVED,"[-0.7198132757170583, -0.8208149621893199, -4.7683715642676816e-08]",000_initial,UNRESOLVED_ENTITY,0.75,0.03,4,4,0,ab3_narrow_deep_cup,0.807193,0.734574,ab3_medium_deep_mug,0.874777,0.067584,,LOCALIZATION_OUTSIDE_THRESHOLD,False
kitchen__F2_HIDDEN_SOUP_BOWL__initial_observation_only__r00,kitchen,F2_HIDDEN_SOUP_BOWL,initial_observation_only,2,cup_1,cup,vessel,OBSERVED,"[-0.7198132757170583, -0.8208149621893199, -4.7683715642676816e-08]",000_initial,UNRESOLVED_ENTITY,0.75,0.03,4,4,0,ab3_narrow_deep_cup,0.807193,0.734574,ab3_medium_deep_mug,0.874777,0.067584,,LOCALIZATION_OUTSIDE_THRESHOLD,False
kitchen__F4_TOOLS_IN_DRAWERS__initial_observation_only__r00,kitchen,F4_TOOLS_IN_DRAWERS,initial_observation_only,1,bowl_1,bowl,vessel,OBSERVED,"[-0.5295416216539518, -0.5557937297442783, -4.7683715642676816e-08]",000_initial,AMBIGUOUS_ENTITY,0.75,0.03,4,4,2,ab3_narrow_deep_cup,0.66245,0.602324,ab3_medium_deep_mug,0.691563,0.029113,ab3_narrow_deep_cup;ab3_medium_deep_mug,GEOMETRIC_AMBIGUITY,False
kitchen__I3_MISSING_SOUP_UTENSIL__initial_observation_only__r00,kitchen,I3_MISSING_SOUP_UTENSIL,initial_observation_only,0,cup_1,cup,vessel,OBSERVED,"[-1.7798982054972232, -0.06652376215343281, -4.7683715642676816e-08]",000_initial,UNRESOLVED_ENTITY,0.75,0.03,4,4,0,ab3_narrow_deep_cup,1.407505,1.33987,ab3_shallow_bowl,2.046428,0.638923,,LOCALIZATION_OUTSIDE_THRESHOLD,False
kitchen__I4_MISSING_KETTLE__initial_observation_only__r00,kitchen,I4_MISSING_KETTLE,initial_observation_only,0,coffee_cup_1,coffee_cup,vessel,OBSERVED,"[-1.5080815568356425, -0.25, -4.7683715642676816e-08]",000_initial,UNRESOLVED_ENTITY,0.75,0.03,4,4,0,ab3_narrow_deep_cup,1.148505,1.083035,ab3_shallow_bowl,1.774186,0.625681,,LOCALIZATION_OUTSIDE_THRESHOLD,False
kitchen__I4_MISSING_KETTLE__initial_observation_only__r00,kitchen,I4_MISSING_KETTLE,initial_observation_only,2,coffee_cup_1,coffee_cup,vessel,OBSERVED,"[-1.5080815568356425, -0.25, -4.7683715642676816e-08]",000_initial,UNRESOLVED_ENTITY,0.75,0.03,4,4,0,ab3_narrow_deep_cup,1.148505,1.083035,ab3_shallow_bowl,1.774186,0.625681,,LOCALIZATION_OUTSIDE_THRESHOLD,False
kitchen__I5_MISSING_COFFEE_JAR__initial_observation_only__r00,kitchen,I5_MISSING_COFFEE_JAR,initial_observation_only,0,cup_1,cup,vessel,OBSERVED,"[-1.671171546032591, -0.14806875675190723, -4.7683715642676816e-08]",000_initial,UNRESOLVED_ENTITY,0.75,0.03,4,4,0,ab3_narrow_deep_cup,1.298903,1.231969,ab3_shallow_bowl,1.934717,0.635814,,LOCALIZATION_OUTSIDE_THRESHOLD,False
kitchen__I5_MISSING_COFFEE_JAR__initial_observation_only__r00,kitchen,I5_MISSING_COFFEE_JAR,initial_observation_only,2,cup_1,cup,vessel,OBSERVED,"[-1.671171546032591, -0.14806875675190723, -4.7683715642676816e-08]",000_initial,UNRESOLVED_ENTITY,0.75,0.03,4,4,0,ab3_narrow_deep_cup,1.298903,1.231969,ab3_shallow_bowl,1.934717,0.635814,,LOCALIZATION_OUTSIDE_THRESHOLD,False
living_room__F3_LEFT_CUP_ON_SHARED__fixed_full_inspection__r00,living_room,F3_LEFT_CUP_ON_SHARED,fixed_full_inspection,0,cup_1,cup,cup,OBSERVED,"[0.08975691214026281, -0.1750568345254977, 0.0002877890398762517]",000_initial,UNRESOLVED_ENTITY,0.75,0.03,2,2,0,a2_drink_left,0.943882,0.829112,a2_drink_right,1.817212,0.87333,,LOCALIZATION_OUTSIDE_THRESHOLD,False
living_room__F3_LEFT_CUP_ON_SHARED__initial_observation_only__r00,living_room,F3_LEFT_CUP_ON_SHARED,initial_observation_only,3,remote_1,remote,remote,OBSERVED,"[2.143769686395215, -3.109961967598059, 0.7253365693187601]",000_initial,UNRESOLVED_ENTITY,0.75,0.03,1,1,0,a2_remote_payload,2.633814,2.526344,,,,,LOCALIZATION_OUTSIDE_THRESHOLD,False
