Metric,Overall,Kitchen,Living Room,Workshop
Total Runs,32,12,10,10
GT-Feasible Runs,20,6,6,8
Outcome Correct,3.1% (1/32),8.3% (1/12),0.0% (0/10),0.0% (0/10)
Feasible-Task Success,0.0% (0/20),0.0% (0/6),0.0% (0/6),0.0% (0/8)
Initial Goal Coverage,1.6% (2/126),0.0% (0/72),6.7% (2/30),0.0% (0/24)
Terminal Goal Coverage,1.6% (2/126),0.0% (0/72),6.7% (2/30),0.0% (0/24)
Delta Goal Coverage,0.0% (0/126),0.0% (0/72),0.0% (0/30),0.0% (0/24)
False Completion,100.0% (1/1),N/A (0/0),100.0% (1/1),N/A (0/0)
Physical Plan Found,0.0% (0/20),0.0% (0/6),0.0% (0/6),0.0% (0/8)
ANY PLAN @ FD,50.0% (16/32),66.7% (8/12),30.0% (3/10),50.0% (5/10)
NONEMPTY PLAN @ FD,46.9% (15/32),66.7% (8/12),20.0% (2/10),50.0% (5/10)
NONEMPTY PLAN @ VAL,46.9% (15/32),66.7% (8/12),20.0% (2/10),50.0% (5/10)
NONEMPTY PLAN @ IDENTITY,12.5% (4/32),25.0% (3/12),0.0% (0/10),10.0% (1/10)
NONEMPTY PLAN @ REFINE,0.0% (0/32),0.0% (0/12),0.0% (0/10),0.0% (0/10)
NONEMPTY PLAN @ EXEC,0.0% (0/32),0.0% (0/12),0.0% (0/10),0.0% (0/10)
Raw VLM Requests,6.91 ± 0.91,7.17 ± 0.69,6.70 ± 1.10,6.80 ± 0.87
High-Level Replans,2.91 ± 0.52,3.00 ± 0.00,2.70 ± 0.90,3.00 ± 0.00
