stage_id,stage_name,count,total_runs,unconditional_rate,unconditional_ci95_low,unconditional_ci95_high,previous_stage_count,conditional_conversion_rate
1_observation,Observation,64,64,1.0,0.9433759402071946,1.0,64,1.0
2_object_estimation,Object estimation,52,64,0.8125,0.7002563943589847,0.8893535682705119,64,0.8125
3_pddl_valid,Valid PDDL,52,64,0.8125,0.7002563943589847,0.8893535682705119,52,1.0
4_any_plan_fd,ANY PLAN@FD,26,64,0.40625,0.2945690924971961,0.5285479187139549,52,0.5
4b_any_plan_val,ANY PLAN@VAL,26,64,0.40625,0.2945690924971961,0.5285479187139549,26,1.0
5_nonempty_plan_fd,NONEMPTY PLAN@FD,24,64,0.375,0.2666598017882464,0.497496213159955,52,0.46153846153846156
6_nonempty_plan_val,NONEMPTY PLAN@VAL,24,64,0.375,0.2666598017882464,0.497496213159955,24,1.0
7_nonempty_plan_identity,NONEMPTY PLAN@IDENTITY,4,64,0.0625,0.024571201396618017,0.14997485092208662,24,0.16666666666666666
8_nonempty_plan_refine,NONEMPTY PLAN@REFINE,0,64,0.0,0.0,0.05662405979280534,4,0.0
9_nonempty_exec_success,NONEMPTY PLAN@EXEC,0,64,0.0,0.0,0.05662405979280534,0,0.0
10_task_success,TASK@FINAL,0,64,0.0,0.0,0.05662405979280534,0,0.0
