case_id,domain,variant,internal_variant,trial_type,search_order,seed,expected_status,actual_status,status_match,inspected_count,inspected_regions,plan_length,runtime_sec,ref_complete,exact_structural_match,role_precision,role_recall,relation_precision,relation_recall,spec_sha256
kitchen_K1,kitchen,K1,F0_ALL_VISIBLE,live,auto,,ACTION_SEQUENCE_READY,INFEASIBLE,False,5,D1;D2;C2;B1;C1,0,59.6335,False,False,1.0,0.6666666666666666,1.0,0.25,6ea00b42e8927a61ada3eaca83649f2e123c34b7e803df452bdf7f120864eb24
kitchen_K1,kitchen,K1,F0_ALL_VISIBLE,provider_replay,provider,,ACTION_SEQUENCE_READY,INFEASIBLE,False,5,D1;D2;C2;B1;C1,0,29.5313,False,False,1.0,0.6666666666666666,1.0,0.25,6ea00b42e8927a61ada3eaca83649f2e123c34b7e803df452bdf7f120864eb24
kitchen_K2,kitchen,K2,F1_HIDDEN_COFFEE_VESSEL,live,auto,,ACTION_SEQUENCE_READY,INCOMPLETE,False,5,D1;D2;C2;B1;C1,0,70.1196,False,False,1.0,0.5,0.0,0.0,902387ee82264812517c64f3c0aeacdcc756f6b608ddb10bf5c8592028b7335b
kitchen_K2,kitchen,K2,F1_HIDDEN_COFFEE_VESSEL,provider_replay,provider,,ACTION_SEQUENCE_READY,INCOMPLETE,False,5,D1;D2;C2;B1;C1,0,27.4356,False,False,1.0,0.5,0.0,0.0,902387ee82264812517c64f3c0aeacdcc756f6b608ddb10bf5c8592028b7335b
kitchen_K3,kitchen,K3,F2_HIDDEN_SOUP_BOWL,live,auto,,ACTION_SEQUENCE_READY,VLM_SPEC_FAILED,False,0,,0,23.2849,False,False,0.0,0.0,0.0,0.0,
kitchen_K4,kitchen,K4,F3_HIDDEN_VESSELS_MIXED,live,auto,,ACTION_SEQUENCE_READY,INCOMPLETE,False,5,D1;D2;C2;B1;C1,0,48.4025,False,False,1.0,0.6666666666666666,1.0,0.5,f3de93308d092a2998d8907f54b73a3305f260b13e3db0ff18243b6ad2d408c1
kitchen_K4,kitchen,K4,F3_HIDDEN_VESSELS_MIXED,provider_replay,provider,,ACTION_SEQUENCE_READY,INCOMPLETE,False,5,D1;D2;C2;B1;C1,0,27.1489,False,False,1.0,0.6666666666666666,1.0,0.5,f3de93308d092a2998d8907f54b73a3305f260b13e3db0ff18243b6ad2d408c1
kitchen_K5,kitchen,K5,F4_TOOLS_IN_DRAWERS,live,auto,,ACTION_SEQUENCE_READY,INCOMPLETE,False,5,D1;D2;C2;B1;C1,0,49.316,False,False,1.0,0.6666666666666666,0.6666666666666666,0.5,eef06b23eef70d499e3901ca13ec917adadf13b4eb93e7b8225e23d9fbd705bb
kitchen_K5,kitchen,K5,F4_TOOLS_IN_DRAWERS,provider_replay,provider,,ACTION_SEQUENCE_READY,INCOMPLETE,False,5,D1;D2;C2;B1;C1,0,28.0372,False,False,1.0,0.6666666666666666,0.6666666666666666,0.5,eef06b23eef70d499e3901ca13ec917adadf13b4eb93e7b8225e23d9fbd705bb
kitchen_K6,kitchen,K6,F5_FULL_DISTRIBUTED_SEARCH,live,auto,,ACTION_SEQUENCE_READY,INFEASIBLE,False,4,D1;D2;C2;B1,0,48.6992,False,False,1.0,0.5,0.3333333333333333,0.25,cd9b0ad144ac0a17c30b2fcc023d31baf0e0f79a2fc6d4694731efefeb7628f6
kitchen_K6,kitchen,K6,F5_FULL_DISTRIBUTED_SEARCH,provider_replay,provider,,ACTION_SEQUENCE_READY,INFEASIBLE,False,4,D1;D2;C2;B1,0,22.5583,False,False,1.0,0.5,0.3333333333333333,0.25,cd9b0ad144ac0a17c30b2fcc023d31baf0e0f79a2fc6d4694731efefeb7628f6
kitchen_K7,kitchen,K7,I0_MISSING_COFFEE_VESSEL,live,auto,,INFEASIBLE,INFEASIBLE,True,5,D1;D2;C2;B1;C1,0,59.7836,False,False,1.0,0.6666666666666666,0.3333333333333333,0.25,2db6feb74b92f7f2c00f3d19a290c1b7188db796b1d5c8cbbd01a8677685e496
kitchen_K7,kitchen,K7,I0_MISSING_COFFEE_VESSEL,provider_replay,provider,,INFEASIBLE,INFEASIBLE,True,5,D1;D2;C2;B1;C1,0,25.6855,False,False,1.0,0.6666666666666666,0.3333333333333333,0.25,2db6feb74b92f7f2c00f3d19a290c1b7188db796b1d5c8cbbd01a8677685e496
kitchen_K8,kitchen,K8,I1_MISSING_SOUP_BOWL,live,auto,,INFEASIBLE,INCOMPLETE,False,5,D1;D2;C2;B1;C1,0,55.3,False,False,1.0,0.6666666666666666,0.4,0.5,0ade4df8496e057a458423bbbc6a7e1337c0cf389a06d1741a78b70cb84d85eb
kitchen_K8,kitchen,K8,I1_MISSING_SOUP_BOWL,provider_replay,provider,,INFEASIBLE,INCOMPLETE,False,5,D1;D2;C2;B1;C1,0,26.4524,False,False,1.0,0.6666666666666666,0.4,0.5,0ade4df8496e057a458423bbbc6a7e1337c0cf389a06d1741a78b70cb84d85eb
kitchen_K9,kitchen,K9,I2_MISSING_COFFEE_SPOON,live,auto,,INFEASIBLE,INFEASIBLE,True,5,D1;D2;C2;B1;C1,0,53.7525,False,False,1.0,0.6666666666666666,0.2857142857142857,0.5,a5b8a54ea1a5f4515e05cc4ee92fd5d9a4d34313a09d8ef16eae6714835539fb
kitchen_K9,kitchen,K9,I2_MISSING_COFFEE_SPOON,provider_replay,provider,,INFEASIBLE,INFEASIBLE,True,5,D1;D2;C2;B1;C1,0,24.8183,False,False,1.0,0.6666666666666666,0.2857142857142857,0.5,a5b8a54ea1a5f4515e05cc4ee92fd5d9a4d34313a09d8ef16eae6714835539fb
